2021-01-20 20:10:29,968 CARME Slurm ID: 24578
2021-01-20 20:10:29,969 gpu device = 0
2021-01-20 20:10:29,970 args = Namespace(arch='RUN1', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-20210120-201029', seed=0, weight_decay=0.0003)
2021-01-20 20:10:35,019 param size = 1.782836MB
2021-01-20 20:12:12,983 (JOBID 24578) epoch 1 lr 2.500000e-02: train_acc 41.911999, valid_acc 49.430000
2021-01-20 20:13:51,078 (JOBID 24578) epoch 2 lr 2.499966e-02: train_acc 58.813999, valid_acc 59.099998
2021-01-20 20:15:28,185 (JOBID 24578) epoch 3 lr 2.499880e-02: train_acc 65.947998, valid_acc 68.610001
2021-01-20 20:17:05,549 (JOBID 24578) epoch 4 lr 2.499760e-02: train_acc 70.389999, valid_acc 74.239998
2021-01-20 20:18:42,362 (JOBID 24578) epoch 5 lr 2.499606e-02: train_acc 73.389999, valid_acc 75.720001
2021-01-20 20:20:20,941 (JOBID 24578) epoch 6 lr 2.499417e-02: train_acc 75.930000, valid_acc 75.879997
2021-01-20 20:21:59,143 (JOBID 24578) epoch 7 lr 2.499195e-02: train_acc 77.811996, valid_acc 78.829994
2021-01-20 20:23:37,254 (JOBID 24578) epoch 8 lr 2.498938e-02: train_acc 78.917999, valid_acc 79.879997
2021-01-20 20:25:15,365 (JOBID 24578) epoch 9 lr 2.498647e-02: train_acc 80.089996, valid_acc 81.150002
2021-01-20 20:26:53,439 (JOBID 24578) epoch 10 lr 2.498321e-02: train_acc 80.917999, valid_acc 85.389999
2021-01-20 20:30:22,124 (JOBID 24578) epoch 11 lr 2.497962e-02: train_acc 81.683998, valid_acc 82.939995
2021-01-20 20:31:58,954 (JOBID 24578) epoch 12 lr 2.497568e-02: train_acc 82.355995, valid_acc 83.559998
2021-01-20 20:33:37,237 (JOBID 24578) epoch 13 lr 2.497140e-02: train_acc 82.734001, valid_acc 85.470001
2021-01-20 20:35:16,098 (JOBID 24578) epoch 14 lr 2.496677e-02: train_acc 83.237999, valid_acc 85.000000
2021-01-20 20:36:54,656 (JOBID 24578) epoch 15 lr 2.496181e-02: train_acc 83.708000, valid_acc 86.599998
2021-01-20 20:38:32,990 (JOBID 24578) epoch 16 lr 2.495650e-02: train_acc 84.185997, valid_acc 84.970001
2021-01-20 20:40:11,480 (JOBID 24578) epoch 17 lr 2.495086e-02: train_acc 84.484001, valid_acc 83.689995
2021-01-20 20:41:49,619 (JOBID 24578) epoch 18 lr 2.494487e-02: train_acc 84.741997, valid_acc 88.189995
2021-01-20 20:43:28,130 (JOBID 24578) epoch 19 lr 2.493854e-02: train_acc 85.028000, valid_acc 85.239998
2021-01-20 20:45:06,636 (JOBID 24578) epoch 20 lr 2.493187e-02: train_acc 85.393997, valid_acc 85.489998
2021-01-20 20:47:56,795 (JOBID 24578) epoch 21 lr 2.492485e-02: train_acc 85.519997, valid_acc 87.709999
2021-01-20 20:49:34,386 (JOBID 24578) epoch 22 lr 2.491750e-02: train_acc 85.757996, valid_acc 88.939995
