2021-02-19 12:25:29,299 CARME Slurm ID: 25737
2021-02-19 12:25:29,301 gpu device = 0
2021-02-19 12:25:29,301 args = Namespace(arch='RUN1', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-predefined-20210219-122528', seed=478, weight_decay=0.0003)
2021-02-19 12:25:34,890 param size = 1.782836MB
2021-02-19 12:27:12,642 (JOBID 25737) epoch 1 lr 2.500000e-02: train_acc 42.784000, valid_acc 52.020000
2021-02-19 12:28:48,992 (JOBID 25737) epoch 2 lr 2.499966e-02: train_acc 60.435997, valid_acc 64.599998
2021-02-19 12:30:24,947 (JOBID 25737) epoch 3 lr 2.499880e-02: train_acc 67.208000, valid_acc 72.599998
2021-02-19 12:32:00,607 (JOBID 25737) epoch 4 lr 2.499760e-02: train_acc 71.713997, valid_acc 72.169998
2021-02-19 12:33:36,244 (JOBID 25737) epoch 5 lr 2.499606e-02: train_acc 74.596001, valid_acc 77.529999
2021-02-19 12:35:12,047 (JOBID 25737) epoch 6 lr 2.499417e-02: train_acc 76.556000, valid_acc 78.939995
2021-02-19 12:36:47,598 (JOBID 25737) epoch 7 lr 2.499195e-02: train_acc 77.986000, valid_acc 77.019997
2021-02-19 12:38:22,944 (JOBID 25737) epoch 8 lr 2.498938e-02: train_acc 78.986000, valid_acc 83.000000
2021-02-19 12:39:58,362 (JOBID 25737) epoch 9 lr 2.498647e-02: train_acc 79.959999, valid_acc 82.949997
2021-02-19 12:41:33,908 (JOBID 25737) epoch 10 lr 2.498321e-02: train_acc 80.867996, valid_acc 83.129997
2021-02-19 12:44:31,171 (JOBID 25737) epoch 11 lr 2.497962e-02: train_acc 81.605995, valid_acc 82.199997
2021-02-19 12:46:06,497 (JOBID 25737) epoch 12 lr 2.497568e-02: train_acc 82.133995, valid_acc 85.150002
2021-02-19 12:47:41,840 (JOBID 25737) epoch 13 lr 2.497140e-02: train_acc 82.593994, valid_acc 85.680000
2021-02-19 12:49:17,320 (JOBID 25737) epoch 14 lr 2.496677e-02: train_acc 83.112000, valid_acc 85.659996
2021-02-19 12:50:52,857 (JOBID 25737) epoch 15 lr 2.496181e-02: train_acc 83.414001, valid_acc 83.229996
2021-02-19 12:52:28,632 (JOBID 25737) epoch 16 lr 2.495650e-02: train_acc 84.035995, valid_acc 82.900002
2021-02-19 12:54:04,163 (JOBID 25737) epoch 17 lr 2.495086e-02: train_acc 84.299995, valid_acc 85.430000
2021-02-19 12:55:39,769 (JOBID 25737) epoch 18 lr 2.494487e-02: train_acc 84.919998, valid_acc 86.409996
2021-02-19 12:57:15,351 (JOBID 25737) epoch 19 lr 2.493854e-02: train_acc 84.771996, valid_acc 87.540001
2021-02-19 12:58:50,978 (JOBID 25737) epoch 20 lr 2.493187e-02: train_acc 85.180000, valid_acc 84.139999
2021-02-19 13:01:45,503 (JOBID 25737) epoch 21 lr 2.492485e-02: train_acc 85.528000, valid_acc 86.089996
2021-02-19 13:03:21,248 (JOBID 25737) epoch 22 lr 2.491750e-02: train_acc 85.577995, valid_acc 87.339996
2021-02-19 13:04:56,590 (JOBID 25737) epoch 23 lr 2.490981e-02: train_acc 85.666000, valid_acc 86.599998
2021-02-19 13:06:32,007 (JOBID 25737) epoch 24 lr 2.490178e-02: train_acc 86.164001, valid_acc 87.669998
2021-02-19 13:08:07,489 (JOBID 25737) epoch 25 lr 2.489340e-02: train_acc 86.124001, valid_acc 86.419998
2021-02-19 13:09:42,966 (JOBID 25737) epoch 26 lr 2.488469e-02: train_acc 86.489998, valid_acc 86.919998
2021-02-19 13:11:18,491 (JOBID 25737) epoch 27 lr 2.487564e-02: train_acc 86.472000, valid_acc 87.360001
2021-02-19 13:12:53,879 (JOBID 25737) epoch 28 lr 2.486625e-02: train_acc 86.687996, valid_acc 88.889999
2021-02-19 13:14:29,464 (JOBID 25737) epoch 29 lr 2.485652e-02: train_acc 86.879997, valid_acc 85.939995
2021-02-19 13:16:04,963 (JOBID 25737) epoch 30 lr 2.484645e-02: train_acc 86.888000, valid_acc 88.779999
2021-02-19 13:18:52,321 (JOBID 25737) epoch 31 lr 2.483604e-02: train_acc 86.975998, valid_acc 88.869995
2021-02-19 13:20:27,844 (JOBID 25737) epoch 32 lr 2.482529e-02: train_acc 87.169998, valid_acc 87.559998
2021-02-19 13:22:03,580 (JOBID 25737) epoch 33 lr 2.481421e-02: train_acc 87.337997, valid_acc 89.129997
2021-02-19 13:23:39,090 (JOBID 25737) epoch 34 lr 2.480279e-02: train_acc 87.526001, valid_acc 87.869995
2021-02-19 13:25:14,615 (JOBID 25737) epoch 35 lr 2.479103e-02: train_acc 87.531998, valid_acc 87.610001
2021-02-19 13:26:49,995 (JOBID 25737) epoch 36 lr 2.477893e-02: train_acc 87.299995, valid_acc 89.180000
2021-02-19 13:28:25,801 (JOBID 25737) epoch 37 lr 2.476650e-02: train_acc 87.528000, valid_acc 90.259995
2021-02-19 13:30:01,347 (JOBID 25737) epoch 38 lr 2.475373e-02: train_acc 87.701996, valid_acc 89.900002
2021-02-19 13:31:37,038 (JOBID 25737) epoch 39 lr 2.474063e-02: train_acc 87.804001, valid_acc 83.549995
2021-02-19 13:33:12,539 (JOBID 25737) epoch 40 lr 2.472719e-02: train_acc 87.759995, valid_acc 89.099998
2021-02-19 13:35:58,159 (JOBID 25737) epoch 41 lr 2.471341e-02: train_acc 88.171997, valid_acc 89.549995
2021-02-19 13:37:33,713 (JOBID 25737) epoch 42 lr 2.469930e-02: train_acc 87.652000, valid_acc 89.379997
2021-02-19 13:39:09,248 (JOBID 25737) epoch 43 lr 2.468486e-02: train_acc 88.028000, valid_acc 88.709999
2021-02-19 13:40:44,930 (JOBID 25737) epoch 44 lr 2.467008e-02: train_acc 87.832001, valid_acc 89.489998
2021-02-19 13:42:20,520 (JOBID 25737) epoch 45 lr 2.465497e-02: train_acc 88.001999, valid_acc 90.290001
2021-02-19 13:43:55,943 (JOBID 25737) epoch 46 lr 2.463952e-02: train_acc 87.916000, valid_acc 88.869995
2021-02-19 13:45:31,480 (JOBID 25737) epoch 47 lr 2.462374e-02: train_acc 88.195999, valid_acc 88.320000
2021-02-19 13:47:06,981 (JOBID 25737) epoch 48 lr 2.460763e-02: train_acc 88.369995, valid_acc 88.680000
2021-02-19 13:48:42,573 (JOBID 25737) epoch 49 lr 2.459119e-02: train_acc 88.295998, valid_acc 84.779999
2021-02-19 13:50:18,158 (JOBID 25737) epoch 50 lr 2.457442e-02: train_acc 88.346001, valid_acc 89.989998
2021-02-19 13:53:06,875 (JOBID 25737) epoch 51 lr 2.455731e-02: train_acc 88.416000, valid_acc 90.820000
2021-02-19 13:54:42,431 (JOBID 25737) epoch 52 lr 2.453987e-02: train_acc 88.500000, valid_acc 89.079994
2021-02-19 13:56:18,032 (JOBID 25737) epoch 53 lr 2.452211e-02: train_acc 88.365997, valid_acc 90.540001
2021-02-19 13:57:53,436 (JOBID 25737) epoch 54 lr 2.450401e-02: train_acc 88.428001, valid_acc 87.519997
2021-02-19 13:59:28,944 (JOBID 25737) epoch 55 lr 2.448559e-02: train_acc 88.447998, valid_acc 86.500000
2021-02-19 14:01:04,692 (JOBID 25737) epoch 56 lr 2.446684e-02: train_acc 88.605995, valid_acc 90.269997
2021-02-19 14:02:40,247 (JOBID 25737) epoch 57 lr 2.444776e-02: train_acc 88.655998, valid_acc 90.519997
2021-02-19 14:04:15,899 (JOBID 25737) epoch 58 lr 2.442835e-02: train_acc 88.652000, valid_acc 88.669998
2021-02-19 14:05:51,667 (JOBID 25737) epoch 59 lr 2.440861e-02: train_acc 88.571999, valid_acc 90.470001
2021-02-19 14:07:27,380 (JOBID 25737) epoch 60 lr 2.438855e-02: train_acc 88.737999, valid_acc 88.750000
2021-02-19 14:10:24,968 (JOBID 25737) epoch 61 lr 2.436816e-02: train_acc 88.839996, valid_acc 89.309998
2021-02-19 14:12:00,472 (JOBID 25737) epoch 62 lr 2.434745e-02: train_acc 88.621994, valid_acc 87.279999
2021-02-19 14:13:35,974 (JOBID 25737) epoch 63 lr 2.432641e-02: train_acc 88.799995, valid_acc 90.949997
2021-02-19 14:15:11,627 (JOBID 25737) epoch 64 lr 2.430505e-02: train_acc 88.815994, valid_acc 90.299995
2021-02-19 14:16:47,273 (JOBID 25737) epoch 65 lr 2.428336e-02: train_acc 88.939995, valid_acc 91.019997
2021-02-19 14:18:22,843 (JOBID 25737) epoch 66 lr 2.426135e-02: train_acc 89.103996, valid_acc 90.919998
2021-02-19 14:19:59,035 (JOBID 25737) epoch 67 lr 2.423902e-02: train_acc 88.862000, valid_acc 90.699997
