2021-02-14 21:25:35,223 CARME Slurm ID: 25534
2021-02-14 21:25:35,224 gpu device = 0
2021-02-14 21:25:35,225 args = Namespace(arch='RUN3_seed', auxiliary=True, auxiliary_weight=0.4, batch_size=64, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-20210214-212534', seed=0, weight_decay=0.0003)
2021-02-14 21:25:40,367 param size = 2.449808MB
2021-02-14 21:28:19,777 (JOBID 25534) epoch 1 lr 2.500000e-02: train_acc 37.877998, valid_acc 56.680000
2021-02-14 21:31:06,021 (JOBID 25534) epoch 2 lr 2.499966e-02: train_acc 58.424000, valid_acc 57.259998
2021-02-14 21:33:54,578 (JOBID 25534) epoch 3 lr 2.499880e-02: train_acc 67.886002, valid_acc 75.659996
2021-02-14 21:36:41,163 (JOBID 25534) epoch 4 lr 2.499760e-02: train_acc 72.367996, valid_acc 71.159996
2021-02-14 21:39:26,808 (JOBID 25534) epoch 5 lr 2.499606e-02: train_acc 75.377998, valid_acc 81.970001
2021-02-14 21:42:15,156 (JOBID 25534) epoch 6 lr 2.499417e-02: train_acc 77.223999, valid_acc 83.309998
2021-02-14 21:44:55,684 (JOBID 25534) epoch 7 lr 2.499195e-02: train_acc 79.063995, valid_acc 80.790001
2021-02-14 21:47:33,050 (JOBID 25534) epoch 8 lr 2.498938e-02: train_acc 79.764000, valid_acc 81.159996
2021-02-14 21:50:07,526 (JOBID 25534) epoch 9 lr 2.498647e-02: train_acc 80.888000, valid_acc 84.979996
2021-02-14 21:52:44,040 (JOBID 25534) epoch 10 lr 2.498321e-02: train_acc 81.624001, valid_acc 85.959999
2021-02-14 21:57:30,664 (JOBID 25534) epoch 11 lr 2.497962e-02: train_acc 82.388000, valid_acc 82.189995
2021-02-14 22:00:05,960 (JOBID 25534) epoch 12 lr 2.497568e-02: train_acc 82.745995, valid_acc 85.079994
2021-02-14 22:02:45,684 (JOBID 25534) epoch 13 lr 2.497140e-02: train_acc 83.125999, valid_acc 84.709999
2021-02-14 22:05:20,671 (JOBID 25534) epoch 14 lr 2.496677e-02: train_acc 83.421997, valid_acc 85.189995
2021-02-14 22:08:00,423 (JOBID 25534) epoch 15 lr 2.496181e-02: train_acc 83.889999, valid_acc 86.239998
2021-02-14 22:10:33,681 (JOBID 25534) epoch 16 lr 2.495650e-02: train_acc 83.909996, valid_acc 87.889999
2021-02-14 22:13:10,982 (JOBID 25534) epoch 17 lr 2.495086e-02: train_acc 84.559998, valid_acc 85.209999
2021-02-14 22:15:49,150 (JOBID 25534) epoch 18 lr 2.494487e-02: train_acc 84.625999, valid_acc 87.419998
2021-02-14 22:18:20,711 (JOBID 25534) epoch 19 lr 2.493854e-02: train_acc 84.849998, valid_acc 87.250000
2021-02-14 22:20:58,844 (JOBID 25534) epoch 20 lr 2.493187e-02: train_acc 85.187996, valid_acc 85.829994
2021-02-14 22:25:51,920 (JOBID 25534) epoch 21 lr 2.492485e-02: train_acc 85.054001, valid_acc 85.779999
2021-02-14 22:28:26,635 (JOBID 25534) epoch 22 lr 2.491750e-02: train_acc 85.236000, valid_acc 87.959999
2021-02-14 22:31:02,794 (JOBID 25534) epoch 23 lr 2.490981e-02: train_acc 85.253998, valid_acc 87.299995
2021-02-14 22:33:41,812 (JOBID 25534) epoch 24 lr 2.490178e-02: train_acc 85.346001, valid_acc 85.680000
2021-02-14 22:36:20,972 (JOBID 25534) epoch 25 lr 2.489340e-02: train_acc 85.657997, valid_acc 85.529999
2021-02-14 22:38:56,280 (JOBID 25534) epoch 26 lr 2.488469e-02: train_acc 85.750000, valid_acc 88.349998
2021-02-14 22:41:34,116 (JOBID 25534) epoch 27 lr 2.487564e-02: train_acc 86.063995, valid_acc 88.619995
2021-02-14 22:44:13,191 (JOBID 25534) epoch 28 lr 2.486625e-02: train_acc 85.973999, valid_acc 85.879997
2021-02-14 22:46:47,874 (JOBID 25534) epoch 29 lr 2.485652e-02: train_acc 85.956001, valid_acc 89.879997
2021-02-14 22:49:19,871 (JOBID 25534) epoch 30 lr 2.484645e-02: train_acc 86.171997, valid_acc 84.589996
2021-02-14 22:54:10,837 (JOBID 25534) epoch 31 lr 2.483604e-02: train_acc 86.363998, valid_acc 86.209999
2021-02-14 22:56:46,962 (JOBID 25534) epoch 32 lr 2.482529e-02: train_acc 86.283997, valid_acc 85.909996
2021-02-14 22:59:24,501 (JOBID 25534) epoch 33 lr 2.481421e-02: train_acc 86.397995, valid_acc 87.449997
2021-02-14 23:01:59,184 (JOBID 25534) epoch 34 lr 2.480279e-02: train_acc 86.515999, valid_acc 87.099998
2021-02-14 23:04:37,197 (JOBID 25534) epoch 35 lr 2.479103e-02: train_acc 86.596001, valid_acc 87.709999
2021-02-14 23:07:12,014 (JOBID 25534) epoch 36 lr 2.477893e-02: train_acc 86.750000, valid_acc 88.269997
2021-02-14 23:09:49,379 (JOBID 25534) epoch 37 lr 2.476650e-02: train_acc 86.547997, valid_acc 88.529999
2021-02-14 23:12:25,058 (JOBID 25534) epoch 38 lr 2.475373e-02: train_acc 86.815994, valid_acc 89.409996
2021-02-14 23:15:02,429 (JOBID 25534) epoch 39 lr 2.474063e-02: train_acc 86.807999, valid_acc 89.779999
2021-02-14 23:17:40,039 (JOBID 25534) epoch 40 lr 2.472719e-02: train_acc 86.571999, valid_acc 89.000000
2021-02-14 23:22:31,672 (JOBID 25534) epoch 41 lr 2.471341e-02: train_acc 87.057999, valid_acc 88.199997
2021-02-14 23:25:01,829 (JOBID 25534) epoch 42 lr 2.469930e-02: train_acc 87.019997, valid_acc 87.599998
2021-02-14 23:27:37,897 (JOBID 25534) epoch 43 lr 2.468486e-02: train_acc 86.975998, valid_acc 89.949997
2021-02-14 23:30:13,513 (JOBID 25534) epoch 44 lr 2.467008e-02: train_acc 87.057999, valid_acc 88.329994
2021-02-14 23:32:51,699 (JOBID 25534) epoch 45 lr 2.465497e-02: train_acc 86.951996, valid_acc 84.860001
2021-02-14 23:35:29,378 (JOBID 25534) epoch 46 lr 2.463952e-02: train_acc 87.068001, valid_acc 90.229996
2021-02-14 23:38:00,202 (JOBID 25534) epoch 47 lr 2.462374e-02: train_acc 87.231995, valid_acc 89.709999
2021-02-14 23:40:36,410 (JOBID 25534) epoch 48 lr 2.460763e-02: train_acc 87.131996, valid_acc 84.549995
2021-02-14 23:43:11,095 (JOBID 25534) epoch 49 lr 2.459119e-02: train_acc 87.357994, valid_acc 87.829994
2021-02-14 23:45:41,517 (JOBID 25534) epoch 50 lr 2.457442e-02: train_acc 87.279999, valid_acc 88.549995
2021-02-14 23:50:31,436 (JOBID 25534) epoch 51 lr 2.455731e-02: train_acc 87.419998, valid_acc 89.839996
2021-02-14 23:53:10,263 (JOBID 25534) epoch 52 lr 2.453987e-02: train_acc 87.533997, valid_acc 89.369995
2021-02-14 23:55:47,703 (JOBID 25534) epoch 53 lr 2.452211e-02: train_acc 87.563995, valid_acc 89.180000
2021-02-14 23:58:27,036 (JOBID 25534) epoch 54 lr 2.450401e-02: train_acc 87.505997, valid_acc 90.269997
2021-02-15 00:01:02,781 (JOBID 25534) epoch 55 lr 2.448559e-02: train_acc 87.633995, valid_acc 90.159996
2021-02-15 00:03:41,605 (JOBID 25534) epoch 56 lr 2.446684e-02: train_acc 87.575996, valid_acc 90.089996
2021-02-15 00:06:18,395 (JOBID 25534) epoch 57 lr 2.444776e-02: train_acc 87.811996, valid_acc 87.629997
2021-02-15 00:08:56,951 (JOBID 25534) epoch 58 lr 2.442835e-02: train_acc 87.839996, valid_acc 90.739998
2021-02-15 00:11:35,243 (JOBID 25534) epoch 59 lr 2.440861e-02: train_acc 87.641998, valid_acc 88.419998
2021-02-15 00:14:15,895 (JOBID 25534) epoch 60 lr 2.438855e-02: train_acc 87.917999, valid_acc 89.669998
2021-02-15 00:18:59,482 (JOBID 25534) epoch 61 lr 2.436816e-02: train_acc 87.678001, valid_acc 87.279999
2021-02-15 00:21:37,114 (JOBID 25534) epoch 62 lr 2.434745e-02: train_acc 87.930000, valid_acc 88.629997
2021-02-15 00:24:18,066 (JOBID 25534) epoch 63 lr 2.432641e-02: train_acc 87.973999, valid_acc 89.360001
2021-02-15 00:26:55,398 (JOBID 25534) epoch 64 lr 2.430505e-02: train_acc 87.928001, valid_acc 88.659996
2021-02-15 00:29:29,992 (JOBID 25534) epoch 65 lr 2.428336e-02: train_acc 87.909996, valid_acc 90.229996
2021-02-15 00:32:11,297 (JOBID 25534) epoch 66 lr 2.426135e-02: train_acc 88.112000, valid_acc 89.250000
2021-02-15 00:34:48,068 (JOBID 25534) epoch 67 lr 2.423902e-02: train_acc 88.139999, valid_acc 87.049995
2021-02-15 00:37:23,727 (JOBID 25534) epoch 68 lr 2.421637e-02: train_acc 88.057999, valid_acc 90.349998
2021-02-15 00:40:00,713 (JOBID 25534) epoch 69 lr 2.419339e-02: train_acc 88.068001, valid_acc 89.000000
2021-02-15 00:42:36,937 (JOBID 25534) epoch 70 lr 2.417010e-02: train_acc 88.315994, valid_acc 90.540001
2021-02-15 00:47:24,626 (JOBID 25534) epoch 71 lr 2.414648e-02: train_acc 88.279999, valid_acc 90.419998
2021-02-15 00:49:55,862 (JOBID 25534) epoch 72 lr 2.412255e-02: train_acc 88.166000, valid_acc 91.169998
2021-02-15 00:52:31,784 (JOBID 25534) epoch 73 lr 2.409830e-02: train_acc 88.185997, valid_acc 90.259995
2021-02-15 00:55:09,136 (JOBID 25534) epoch 74 lr 2.407372e-02: train_acc 87.959999, valid_acc 90.799995
2021-02-15 00:57:47,090 (JOBID 25534) epoch 75 lr 2.404884e-02: train_acc 88.371994, valid_acc 91.790001
2021-02-15 01:00:22,710 (JOBID 25534) epoch 76 lr 2.402363e-02: train_acc 88.152000, valid_acc 90.579994
2021-02-15 01:02:54,173 (JOBID 25534) epoch 77 lr 2.399811e-02: train_acc 88.251999, valid_acc 91.189995
2021-02-15 01:05:26,781 (JOBID 25534) epoch 78 lr 2.397228e-02: train_acc 88.407997, valid_acc 90.769997
2021-02-15 01:08:05,581 (JOBID 25534) epoch 79 lr 2.394612e-02: train_acc 88.423996, valid_acc 88.860001
2021-02-15 01:10:36,835 (JOBID 25534) epoch 80 lr 2.391966e-02: train_acc 88.281998, valid_acc 90.849998
2021-02-15 01:15:31,879 (JOBID 25534) epoch 81 lr 2.389288e-02: train_acc 88.133995, valid_acc 88.579994
2021-02-15 01:18:09,291 (JOBID 25534) epoch 82 lr 2.386579e-02: train_acc 88.621994, valid_acc 88.470001
2021-02-15 01:20:42,611 (JOBID 25534) epoch 83 lr 2.383839e-02: train_acc 88.423996, valid_acc 91.029999
2021-02-15 01:23:18,473 (JOBID 25534) epoch 84 lr 2.381068e-02: train_acc 88.537994, valid_acc 91.379997
2021-02-15 01:25:57,652 (JOBID 25534) epoch 85 lr 2.378266e-02: train_acc 88.442001, valid_acc 90.449997
2021-02-15 01:28:33,581 (JOBID 25534) epoch 86 lr 2.375433e-02: train_acc 88.549995, valid_acc 91.659996
2021-02-15 01:31:13,538 (JOBID 25534) epoch 87 lr 2.372569e-02: train_acc 88.535995, valid_acc 91.220001
2021-02-15 01:33:52,458 (JOBID 25534) epoch 88 lr 2.369674e-02: train_acc 88.571999, valid_acc 89.000000
2021-02-15 01:36:29,868 (JOBID 25534) epoch 89 lr 2.366748e-02: train_acc 88.669998, valid_acc 85.119995
2021-02-15 01:39:02,771 (JOBID 25534) epoch 90 lr 2.363792e-02: train_acc 88.579994, valid_acc 89.869995
2021-02-15 01:43:54,746 (JOBID 25534) epoch 91 lr 2.360806e-02: train_acc 88.551994, valid_acc 88.629997
2021-02-15 01:46:32,072 (JOBID 25534) epoch 92 lr 2.357789e-02: train_acc 88.512001, valid_acc 91.189995
2021-02-15 01:49:10,099 (JOBID 25534) epoch 93 lr 2.354741e-02: train_acc 88.804001, valid_acc 91.099998
2021-02-15 01:51:44,700 (JOBID 25534) epoch 94 lr 2.351664e-02: train_acc 88.722000, valid_acc 90.500000
2021-02-15 01:54:15,802 (JOBID 25534) epoch 95 lr 2.348556e-02: train_acc 88.661995, valid_acc 89.129997
2021-02-15 01:56:50,137 (JOBID 25534) epoch 96 lr 2.345418e-02: train_acc 88.587997, valid_acc 90.829994
2021-02-15 01:59:27,398 (JOBID 25534) epoch 97 lr 2.342250e-02: train_acc 88.631996, valid_acc 88.110001
2021-02-15 02:02:04,418 (JOBID 25534) epoch 98 lr 2.339051e-02: train_acc 88.591995, valid_acc 90.729996
2021-02-15 02:04:39,039 (JOBID 25534) epoch 99 lr 2.335824e-02: train_acc 88.731995, valid_acc 91.430000
2021-02-15 02:07:18,497 (JOBID 25534) epoch 100 lr 2.332566e-02: train_acc 88.813995, valid_acc 91.589996
2021-02-15 02:12:14,973 (JOBID 25534) epoch 101 lr 2.329279e-02: train_acc 88.655998, valid_acc 91.639999
2021-02-15 02:14:53,155 (JOBID 25534) epoch 102 lr 2.325962e-02: train_acc 88.764000, valid_acc 90.110001
2021-02-15 02:17:30,862 (JOBID 25534) epoch 103 lr 2.322615e-02: train_acc 88.951996, valid_acc 90.619995
2021-02-15 02:20:09,751 (JOBID 25534) epoch 104 lr 2.319240e-02: train_acc 88.653999, valid_acc 91.759995
2021-02-15 02:22:41,695 (JOBID 25534) epoch 105 lr 2.315834e-02: train_acc 88.902000, valid_acc 90.159996
2021-02-15 02:25:15,388 (JOBID 25534) epoch 106 lr 2.312400e-02: train_acc 88.790001, valid_acc 91.220001
2021-02-15 02:27:48,320 (JOBID 25534) epoch 107 lr 2.308937e-02: train_acc 88.972000, valid_acc 90.259995
2021-02-15 02:30:24,882 (JOBID 25534) epoch 108 lr 2.305444e-02: train_acc 88.659996, valid_acc 91.779999
2021-02-15 02:33:04,160 (JOBID 25534) epoch 109 lr 2.301923e-02: train_acc 89.209999, valid_acc 89.799995
2021-02-15 02:35:35,758 (JOBID 25534) epoch 110 lr 2.298372e-02: train_acc 88.881996, valid_acc 91.529999
2021-02-15 02:40:29,881 (JOBID 25534) epoch 111 lr 2.294793e-02: train_acc 88.835999, valid_acc 90.189995
2021-02-15 02:43:09,292 (JOBID 25534) epoch 112 lr 2.291186e-02: train_acc 89.005997, valid_acc 92.110001
2021-02-15 02:45:45,750 (JOBID 25534) epoch 113 lr 2.287550e-02: train_acc 88.862000, valid_acc 91.729996
2021-02-15 02:48:21,276 (JOBID 25534) epoch 114 lr 2.283885e-02: train_acc 88.849998, valid_acc 90.829994
