2021-02-18 15:30:35,546 CARME Slurm ID: 25694
2021-02-18 15:30:35,547 gpu device = 0
2021-02-18 15:30:35,548 args = Namespace(arch='RUN3_seed', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-predefined-20210218-153035', seed=3459, weight_decay=0.0003)
2021-02-18 15:30:40,141 param size = 2.449808MB
2021-02-18 15:32:51,461 (JOBID 25694) epoch 1 lr 2.500000e-02: train_acc 36.028000, valid_acc 55.230000
2021-02-18 15:35:01,331 (JOBID 25694) epoch 2 lr 2.499966e-02: train_acc 56.933998, valid_acc 66.040001
2021-02-18 15:37:18,926 (JOBID 25694) epoch 3 lr 2.499880e-02: train_acc 66.381996, valid_acc 72.619995
2021-02-18 15:39:37,732 (JOBID 25694) epoch 4 lr 2.499760e-02: train_acc 71.442001, valid_acc 76.720001
2021-02-18 15:41:58,994 (JOBID 25694) epoch 5 lr 2.499606e-02: train_acc 74.477997, valid_acc 77.009995
2021-02-18 15:44:09,963 (JOBID 25694) epoch 6 lr 2.499417e-02: train_acc 76.461998, valid_acc 79.669998
2021-02-18 15:46:21,451 (JOBID 25694) epoch 7 lr 2.499195e-02: train_acc 78.150002, valid_acc 82.430000
2021-02-18 15:48:33,449 (JOBID 25694) epoch 8 lr 2.498938e-02: train_acc 79.521996, valid_acc 81.099998
2021-02-18 15:50:43,792 (JOBID 25694) epoch 9 lr 2.498647e-02: train_acc 80.491997, valid_acc 82.970001
2021-02-18 15:52:56,480 (JOBID 25694) epoch 10 lr 2.498321e-02: train_acc 81.755997, valid_acc 81.110001
2021-02-18 15:57:37,788 (JOBID 25694) epoch 11 lr 2.497962e-02: train_acc 82.049995, valid_acc 82.439995
2021-02-18 15:59:51,194 (JOBID 25694) epoch 12 lr 2.497568e-02: train_acc 82.587997, valid_acc 84.769997
2021-02-18 16:02:16,418 (JOBID 25694) epoch 13 lr 2.497140e-02: train_acc 83.231995, valid_acc 85.650002
2021-02-18 16:04:37,432 (JOBID 25694) epoch 14 lr 2.496677e-02: train_acc 83.753998, valid_acc 86.369995
2021-02-18 16:06:48,522 (JOBID 25694) epoch 15 lr 2.496181e-02: train_acc 84.231995, valid_acc 86.119995
2021-02-18 16:08:58,945 (JOBID 25694) epoch 16 lr 2.495650e-02: train_acc 84.521996, valid_acc 87.970001
2021-02-18 16:11:10,071 (JOBID 25694) epoch 17 lr 2.495086e-02: train_acc 84.953995, valid_acc 83.979996
2021-02-18 16:13:21,201 (JOBID 25694) epoch 18 lr 2.494487e-02: train_acc 85.215996, valid_acc 87.279999
2021-02-18 16:15:43,665 (JOBID 25694) epoch 19 lr 2.493854e-02: train_acc 85.577995, valid_acc 87.610001
2021-02-18 16:17:55,540 (JOBID 25694) epoch 20 lr 2.493187e-02: train_acc 85.883995, valid_acc 87.839996
2021-02-18 16:23:40,574 (JOBID 25694) epoch 21 lr 2.492485e-02: train_acc 86.167999, valid_acc 81.900002
2021-02-18 16:25:50,519 (JOBID 25694) epoch 22 lr 2.491750e-02: train_acc 86.315994, valid_acc 87.559998
2021-02-18 16:28:00,899 (JOBID 25694) epoch 23 lr 2.490981e-02: train_acc 86.419998, valid_acc 88.479996
2021-02-18 16:30:11,694 (JOBID 25694) epoch 24 lr 2.490178e-02: train_acc 86.841995, valid_acc 87.750000
2021-02-18 16:32:31,503 (JOBID 25694) epoch 25 lr 2.489340e-02: train_acc 86.903999, valid_acc 89.180000
2021-02-18 16:34:42,891 (JOBID 25694) epoch 26 lr 2.488469e-02: train_acc 87.203995, valid_acc 87.829994
2021-02-18 16:36:56,985 (JOBID 25694) epoch 27 lr 2.487564e-02: train_acc 87.157997, valid_acc 88.470001
2021-02-18 16:39:26,902 (JOBID 25694) epoch 28 lr 2.486625e-02: train_acc 87.309998, valid_acc 88.769997
2021-02-18 16:42:00,004 (JOBID 25694) epoch 29 lr 2.485652e-02: train_acc 87.491997, valid_acc 86.909996
2021-02-18 16:44:11,582 (JOBID 25694) epoch 30 lr 2.484645e-02: train_acc 87.533997, valid_acc 87.790001
2021-02-18 16:48:23,597 (JOBID 25694) epoch 31 lr 2.483604e-02: train_acc 87.987999, valid_acc 89.189995
2021-02-18 16:50:33,192 (JOBID 25694) epoch 32 lr 2.482529e-02: train_acc 87.799995, valid_acc 89.579994
2021-02-18 16:52:44,104 (JOBID 25694) epoch 33 lr 2.481421e-02: train_acc 87.900002, valid_acc 88.279999
2021-02-18 16:54:56,328 (JOBID 25694) epoch 34 lr 2.480279e-02: train_acc 88.063995, valid_acc 89.970001
2021-02-18 16:57:28,454 (JOBID 25694) epoch 35 lr 2.479103e-02: train_acc 88.045998, valid_acc 90.400002
2021-02-18 16:59:42,808 (JOBID 25694) epoch 36 lr 2.477893e-02: train_acc 88.153999, valid_acc 89.250000
2021-02-18 17:01:57,765 (JOBID 25694) epoch 37 lr 2.476650e-02: train_acc 88.273994, valid_acc 89.459999
2021-02-18 17:04:08,128 (JOBID 25694) epoch 38 lr 2.475373e-02: train_acc 88.299995, valid_acc 90.470001
2021-02-18 17:06:18,630 (JOBID 25694) epoch 39 lr 2.474063e-02: train_acc 88.507996, valid_acc 91.299995
2021-02-18 17:08:34,648 (JOBID 25694) epoch 40 lr 2.472719e-02: train_acc 88.264000, valid_acc 89.509995
2021-02-18 17:12:46,058 (JOBID 25694) epoch 41 lr 2.471341e-02: train_acc 88.554001, valid_acc 90.099998
2021-02-18 17:15:01,909 (JOBID 25694) epoch 42 lr 2.469930e-02: train_acc 88.414001, valid_acc 87.809998
2021-02-18 17:17:29,497 (JOBID 25694) epoch 43 lr 2.468486e-02: train_acc 88.613998, valid_acc 91.119995
2021-02-18 17:19:48,213 (JOBID 25694) epoch 44 lr 2.467008e-02: train_acc 88.570000, valid_acc 90.089996
2021-02-18 17:22:02,484 (JOBID 25694) epoch 45 lr 2.465497e-02: train_acc 88.659996, valid_acc 89.639999
2021-02-18 17:24:13,675 (JOBID 25694) epoch 46 lr 2.463952e-02: train_acc 88.706001, valid_acc 90.839996
2021-02-18 17:26:23,715 (JOBID 25694) epoch 47 lr 2.462374e-02: train_acc 88.554001, valid_acc 88.320000
2021-02-18 17:28:33,620 (JOBID 25694) epoch 48 lr 2.460763e-02: train_acc 88.867996, valid_acc 88.809998
