2020-12-26 10:12:37,753 CARME Slurm ID: 24074
2020-12-26 10:12:37,754 gpu device = 0
2020-12-26 10:12:37,755 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, layers=20, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-full-20201226-101236', seed=0, weight_decay=0.0003)
2020-12-26 10:12:43,538 param size = 3.349394MB
2020-12-26 10:15:40,195 (JOBID 24074) epoch 1 lr 2.500000e-02: train_acc 32.480000, valid_acc 47.849998
2020-12-26 10:18:33,315 (JOBID 24074) epoch 2 lr 2.499966e-02: train_acc 54.653999, valid_acc 61.649998
2020-12-26 10:21:27,760 (JOBID 24074) epoch 3 lr 2.499880e-02: train_acc 64.582001, valid_acc 68.479996
2020-12-26 10:24:20,548 (JOBID 24074) epoch 4 lr 2.499760e-02: train_acc 70.334000, valid_acc 71.519997
2020-12-26 10:27:23,955 (JOBID 24074) epoch 5 lr 2.499606e-02: train_acc 74.201996, valid_acc 80.139999
2020-12-26 10:30:14,238 (JOBID 24074) epoch 6 lr 2.499417e-02: train_acc 76.727997, valid_acc 79.389999
2020-12-26 10:33:05,639 (JOBID 24074) epoch 7 lr 2.499195e-02: train_acc 78.442001, valid_acc 81.220001
2020-12-26 10:35:58,307 (JOBID 24074) epoch 8 lr 2.498938e-02: train_acc 80.264000, valid_acc 83.849998
2020-12-26 10:38:52,747 (JOBID 24074) epoch 9 lr 2.498647e-02: train_acc 81.343994, valid_acc 81.369995
2020-12-26 10:41:56,570 (JOBID 24074) epoch 10 lr 2.498321e-02: train_acc 82.423996, valid_acc 80.729996
2020-12-26 10:48:19,968 (JOBID 24074) epoch 11 lr 2.497962e-02: train_acc 83.079994, valid_acc 85.019997
2020-12-26 10:51:20,821 (JOBID 24074) epoch 12 lr 2.497568e-02: train_acc 83.853996, valid_acc 85.320000
2020-12-26 10:54:11,305 (JOBID 24074) epoch 13 lr 2.497140e-02: train_acc 84.627998, valid_acc 85.849998
2020-12-26 10:57:03,955 (JOBID 24074) epoch 14 lr 2.496677e-02: train_acc 84.875999, valid_acc 86.040001
2020-12-26 11:00:02,774 (JOBID 24074) epoch 15 lr 2.496181e-02: train_acc 85.556000, valid_acc 87.250000
2020-12-26 11:02:53,830 (JOBID 24074) epoch 16 lr 2.495650e-02: train_acc 85.895996, valid_acc 85.799995
2020-12-26 11:05:44,805 (JOBID 24074) epoch 17 lr 2.495086e-02: train_acc 86.065994, valid_acc 86.979996
2020-12-26 11:08:34,595 (JOBID 24074) epoch 18 lr 2.494487e-02: train_acc 86.346001, valid_acc 87.419998
