2021-02-16 21:38:35,486 CARME Slurm ID: 25645
2021-02-16 21:38:35,487 gpu device = 0
2021-02-16 21:38:35,488 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='darts-original-retrain-predefined-20210216-213835', seed=1302, weight_decay=0.0003)
2021-02-16 21:38:40,607 param size = 3.349394MB
2021-02-16 21:41:38,019 (JOBID 25645) epoch 1 lr 2.500000e-02: train_acc 33.026001, valid_acc 46.219997
2021-02-16 21:44:34,297 (JOBID 25645) epoch 2 lr 2.499966e-02: train_acc 55.657997, valid_acc 62.529999
2021-02-16 21:47:26,641 (JOBID 25645) epoch 3 lr 2.499880e-02: train_acc 65.150002, valid_acc 68.919998
2021-02-16 21:50:23,574 (JOBID 25645) epoch 4 lr 2.499760e-02: train_acc 70.559998, valid_acc 73.279999
2021-02-16 21:53:19,325 (JOBID 25645) epoch 5 lr 2.499606e-02: train_acc 73.984001, valid_acc 78.129997
2021-02-16 21:56:14,177 (JOBID 25645) epoch 6 lr 2.499417e-02: train_acc 76.706001, valid_acc 72.759995
2021-02-16 21:59:08,348 (JOBID 25645) epoch 7 lr 2.499195e-02: train_acc 78.571999, valid_acc 82.489998
2021-02-16 22:02:01,314 (JOBID 25645) epoch 8 lr 2.498938e-02: train_acc 79.776001, valid_acc 82.970001
2021-02-16 22:04:56,344 (JOBID 25645) epoch 9 lr 2.498647e-02: train_acc 80.865997, valid_acc 84.139999
2021-02-16 22:07:51,029 (JOBID 25645) epoch 10 lr 2.498321e-02: train_acc 82.251999, valid_acc 84.739998
2021-02-16 22:13:20,321 (JOBID 25645) epoch 11 lr 2.497962e-02: train_acc 82.897995, valid_acc 85.720001
2021-02-16 22:16:13,365 (JOBID 25645) epoch 12 lr 2.497568e-02: train_acc 83.425995, valid_acc 84.799995
2021-02-16 22:19:08,631 (JOBID 25645) epoch 13 lr 2.497140e-02: train_acc 84.068001, valid_acc 86.860001
2021-02-16 22:22:01,963 (JOBID 25645) epoch 14 lr 2.496677e-02: train_acc 84.809998, valid_acc 87.229996
2021-02-16 22:24:57,762 (JOBID 25645) epoch 15 lr 2.496181e-02: train_acc 84.965996, valid_acc 87.820000
2021-02-16 22:27:52,395 (JOBID 25645) epoch 16 lr 2.495650e-02: train_acc 85.493996, valid_acc 87.529999
2021-02-16 22:30:46,642 (JOBID 25645) epoch 17 lr 2.495086e-02: train_acc 85.958000, valid_acc 87.759995
