2021-11-04 01:42:49 CARME Slurm ID: 31649
2021-11-04 01:42:49 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=0, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 01:42:49 CARME Slurm ID: 31649
2021-11-04 01:42:49 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=1, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 01:42:49 CARME Slurm ID: 31649
2021-11-04 01:42:49 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=2, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 01:42:56 => loading baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:42:56 => loading baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:42:56 => loading baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:42:56 => loaded baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:42:56 => loaded baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:42:56 => loaded baseline model '_fgpm_pretrained_best.resnet50.2018-07-16-4310/small_model_all_conv_1e-06.pth.tar'
2021-11-04 01:43:04 Computational complexity:       2.02 GMac
2021-11-04 01:43:04 Computational complexity:       2.02 GMac
2021-11-04 01:43:04 Computational complexity:       2.02 GMac
2021-11-04 01:43:04 Number of parameters:           13.35 M 
2021-11-04 01:43:04 Number of parameters:           13.35 M 
2021-11-04 01:43:04 Number of parameters:           13.35 M 
2021-11-04 01:43:21 valid 0000, loss 6.437e-01, top1 88.24, top5 95.29
2021-11-04 01:43:22 valid 0000, loss 6.437e-01, top1 88.24, top5 95.29
2021-11-04 01:43:22 valid 0000, loss 6.437e-01, top1 88.24, top5 95.29
2021-11-04 01:47:44 (JOBID 31649) epoch -1: valid_top1 69.59, valid_top5 89.52, inference time 275.75
2021-11-04 01:47:48 (JOBID 31649) epoch -1: valid_top1 69.59, valid_top5 89.52, inference time 279.07
2021-11-04 01:47:49 (JOBID 31649) epoch -1: valid_top1 69.59, valid_top5 89.52, inference time 279.73
2021-11-04 01:48:07 train 0000, loss 7.761e-01, top1 82.35, top5 94.12
2021-11-04 01:48:07 train 0000, loss 6.772e-01, top1 80.00, top5 92.94
2021-11-04 01:48:07 train 0000, loss 9.533e-01, top1 80.00, top5 90.59
2021-11-04 02:02:14 train 1000, loss 3.288e+00, top1 31.74, top5 56.50
2021-11-04 02:02:14 train 1000, loss 3.282e+00, top1 31.93, top5 56.65
2021-11-04 02:02:14 train 1000, loss 3.274e+00, top1 32.16, top5 56.89
2021-11-04 02:16:23 train 2000, loss 2.959e+00, top1 37.21, top5 62.30
2021-11-04 02:16:23 train 2000, loss 2.958e+00, top1 37.13, top5 62.35
2021-11-04 02:16:23 train 2000, loss 2.950e+00, top1 37.30, top5 62.54
2021-11-04 02:30:33 train 3000, loss 2.796e+00, top1 39.94, top5 65.03
2021-11-04 02:30:33 train 3000, loss 2.797e+00, top1 39.77, top5 65.13
2021-11-04 02:30:33 train 3000, loss 2.789e+00, top1 40.03, top5 65.31
2021-11-04 02:44:47 train 4000, loss 2.695e+00, top1 41.70, top5 66.75
2021-11-04 02:44:47 train 4000, loss 2.695e+00, top1 41.58, top5 66.84
2021-11-04 02:44:47 train 4000, loss 2.690e+00, top1 41.72, top5 66.95
2021-11-04 02:58:56 train 5000, loss 2.628e+00, top1 42.82, top5 67.89
2021-11-04 02:58:56 train 5000, loss 2.624e+00, top1 42.86, top5 68.00
2021-11-04 02:58:56 train 5000, loss 2.621e+00, top1 42.91, top5 68.11
2021-11-04 02:59:29 valid 0000, loss 1.216e+00, top1 76.47, top5 84.71
2021-11-04 02:59:29 valid 0000, loss 1.216e+00, top1 76.47, top5 84.71
2021-11-04 02:59:29 valid 0000, loss 1.216e+00, top1 76.47, top5 84.71
2021-11-04 03:04:11 (JOBID 31649) epoch 0: train time 4290.58, inference time 291.89s, valid_top1 50.65 (best_top1 50.65), valid_top5 76.99
2021-11-04 03:04:13 (JOBID 31649) epoch 0: train time 4291.25, inference time 293.55s, valid_top1 50.65 (best_top1 50.65), valid_top5 76.99
2021-11-04 03:04:15 (JOBID 31649) epoch 0: train time 4294.79, inference time 294.51s, valid_top1 50.65 (best_top1 50.65), valid_top5 76.99
2021-11-04 03:04:26 train 0000, loss 2.506e+00, top1 45.88, top5 69.41
2021-11-04 03:04:26 train 0000, loss 1.882e+00, top1 58.82, top5 84.71
2021-11-04 03:04:29 train 0000, loss 2.099e+00, top1 55.29, top5 70.59
2021-11-04 03:18:41 train 1000, loss 2.266e+00, top1 49.06, top5 73.82
2021-11-04 03:18:41 train 1000, loss 2.282e+00, top1 48.87, top5 73.65
2021-11-04 03:18:42 train 1000, loss 2.279e+00, top1 48.97, top5 73.74
2021-11-04 03:32:56 train 2000, loss 2.275e+00, top1 48.96, top5 73.70
2021-11-04 03:32:56 train 2000, loss 2.279e+00, top1 48.97, top5 73.74
2021-11-04 03:32:56 train 2000, loss 2.281e+00, top1 48.91, top5 73.72
2021-11-04 03:47:04 train 3000, loss 2.280e+00, top1 48.85, top5 73.69
2021-11-04 03:47:04 train 3000, loss 2.277e+00, top1 49.05, top5 73.70
2021-11-04 03:47:04 train 3000, loss 2.276e+00, top1 48.95, top5 73.80
2021-11-04 04:01:12 train 4000, loss 2.275e+00, top1 49.00, top5 73.78
2021-11-04 04:01:12 train 4000, loss 2.275e+00, top1 49.09, top5 73.71
2021-11-04 04:01:12 train 4000, loss 2.272e+00, top1 49.08, top5 73.89
2021-11-04 04:15:25 train 5000, loss 2.272e+00, top1 49.09, top5 73.80
2021-11-04 04:15:25 train 5000, loss 2.272e+00, top1 49.16, top5 73.76
2021-11-04 04:15:25 train 5000, loss 2.271e+00, top1 49.13, top5 73.91
2021-11-04 04:15:55 valid 0000, loss 1.425e+00, top1 75.29, top5 84.71
2021-11-04 04:15:55 valid 0000, loss 1.425e+00, top1 75.29, top5 84.71
2021-11-04 04:15:55 valid 0000, loss 1.425e+00, top1 75.29, top5 84.71
2021-11-04 04:20:18 (JOBID 31649) epoch 1: train time 4292.87, inference time 272.58s, valid_top1 51.11 (best_top1 51.11), valid_top5 77.06
2021-11-04 04:20:22 (JOBID 31649) epoch 1: train time 4294.17, inference time 276.61s, valid_top1 51.11 (best_top1 51.11), valid_top5 77.06
2021-11-04 04:20:30 (JOBID 31649) epoch 1: train time 4290.73, inference time 283.80s, valid_top1 51.11 (best_top1 51.11), valid_top5 77.06
2021-11-04 04:20:33 train 0000, loss 2.504e+00, top1 43.53, top5 70.59
2021-11-04 04:20:36 train 0000, loss 1.952e+00, top1 54.12, top5 78.82
2021-11-04 04:20:44 train 0000, loss 2.273e+00, top1 51.76, top5 71.76
2021-11-04 04:34:50 train 1000, loss 2.203e+00, top1 50.41, top5 74.89
2021-11-04 04:34:50 train 1000, loss 2.241e+00, top1 49.68, top5 74.31
2021-11-04 04:34:50 train 1000, loss 2.219e+00, top1 50.16, top5 74.52
2021-11-04 04:48:58 train 2000, loss 2.217e+00, top1 50.13, top5 74.73
2021-11-04 04:48:58 train 2000, loss 2.234e+00, top1 49.82, top5 74.39
2021-11-04 04:48:59 train 2000, loss 2.231e+00, top1 49.95, top5 74.36
2021-11-04 05:03:08 train 3000, loss 2.236e+00, top1 49.88, top5 74.39
2021-11-04 05:03:08 train 3000, loss 2.236e+00, top1 49.85, top5 74.34
2021-11-04 05:03:08 train 3000, loss 2.226e+00, top1 49.94, top5 74.59
2021-11-04 05:17:12 train 4000, loss 2.240e+00, top1 49.74, top5 74.27
2021-11-04 05:17:12 train 4000, loss 2.237e+00, top1 49.88, top5 74.35
2021-11-04 05:17:12 train 4000, loss 2.232e+00, top1 49.89, top5 74.46
2021-11-04 05:31:17 train 5000, loss 2.239e+00, top1 49.74, top5 74.28
2021-11-04 05:31:17 train 5000, loss 2.238e+00, top1 49.83, top5 74.35
2021-11-04 05:31:17 train 5000, loss 2.232e+00, top1 49.86, top5 74.46
2021-11-04 05:31:48 valid 0000, loss 1.537e+00, top1 69.41, top5 78.82
2021-11-04 05:31:48 valid 0000, loss 1.537e+00, top1 69.41, top5 78.82
2021-11-04 05:31:48 valid 0000, loss 1.537e+00, top1 69.41, top5 78.82
2021-11-04 05:36:09 (JOBID 31649) epoch 2: train time 4268.36, inference time 270.78s, valid_top1 51.87 (best_top1 51.87), valid_top5 77.66
2021-11-04 05:36:19 (JOBID 31649) epoch 2: train time 4280.23, inference time 280.40s, valid_top1 51.87 (best_top1 51.87), valid_top5 77.66
2021-11-04 05:36:19 (JOBID 31649) epoch 2: train time 4276.16, inference time 280.71s, valid_top1 51.87 (best_top1 51.87), valid_top5 77.66
2021-11-04 05:36:23 train 0000, loss 2.362e+00, top1 50.59, top5 74.12
2021-11-04 05:36:32 train 0000, loss 2.040e+00, top1 54.12, top5 78.82
2021-11-04 05:36:32 train 0000, loss 2.115e+00, top1 51.76, top5 72.94
2021-11-04 05:50:40 train 1000, loss 2.207e+00, top1 50.08, top5 74.82
2021-11-04 05:50:40 train 1000, loss 2.199e+00, top1 50.66, top5 74.89
2021-11-04 05:50:40 train 1000, loss 2.208e+00, top1 50.17, top5 74.94
2021-11-04 06:04:44 train 2000, loss 2.210e+00, top1 50.32, top5 74.72
2021-11-04 06:04:44 train 2000, loss 2.220e+00, top1 49.99, top5 74.58
2021-11-04 06:04:44 train 2000, loss 2.211e+00, top1 50.27, top5 74.83
2021-11-04 06:18:51 train 3000, loss 2.223e+00, top1 49.97, top5 74.56
2021-11-04 06:18:51 train 3000, loss 2.219e+00, top1 50.18, top5 74.56
2021-11-04 06:18:51 train 3000, loss 2.220e+00, top1 50.14, top5 74.67
2021-11-04 06:32:59 train 4000, loss 2.222e+00, top1 50.04, top5 74.56
2021-11-04 06:32:59 train 4000, loss 2.222e+00, top1 50.10, top5 74.51
2021-11-04 06:32:59 train 4000, loss 2.223e+00, top1 50.12, top5 74.64
2021-11-04 06:47:09 train 5000, loss 2.224e+00, top1 50.07, top5 74.51
2021-11-04 06:47:09 train 5000, loss 2.225e+00, top1 50.06, top5 74.51
2021-11-04 06:47:09 train 5000, loss 2.225e+00, top1 50.08, top5 74.58
2021-11-04 06:47:40 valid 0000, loss 7.968e-01, top1 80.00, top5 94.12
2021-11-04 06:47:40 valid 0000, loss 7.968e-01, top1 80.00, top5 94.12
2021-11-04 06:47:40 valid 0000, loss 7.968e-01, top1 80.00, top5 94.12
2021-11-04 06:52:23 (JOBID 31649) epoch 3: train time 4271.13, inference time 292.75s, valid_top1 52.22 (best_top1 52.22), valid_top5 78.43
2021-11-04 06:52:23 (JOBID 31649) epoch 3: train time 4280.36, inference time 293.07s, valid_top1 52.22 (best_top1 52.22), valid_top5 78.43
2021-11-04 06:52:23 (JOBID 31649) epoch 3: train time 4270.86, inference time 293.71s, valid_top1 52.22 (best_top1 52.22), valid_top5 78.43
2021-11-04 06:52:37 train 0000, loss 1.761e+00, top1 51.76, top5 83.53
2021-11-04 06:52:37 train 0000, loss 2.655e+00, top1 44.71, top5 67.06
2021-11-04 06:52:37 train 0000, loss 2.415e+00, top1 47.06, top5 77.65
2021-11-04 07:06:42 train 1000, loss 2.201e+00, top1 50.42, top5 74.93
2021-11-04 07:06:42 train 1000, loss 2.201e+00, top1 50.50, top5 74.85
2021-11-04 07:06:42 train 1000, loss 2.197e+00, top1 50.56, top5 75.07
2021-11-04 07:20:48 train 2000, loss 2.215e+00, top1 50.21, top5 74.72
2021-11-04 07:20:48 train 2000, loss 2.209e+00, top1 50.34, top5 74.69
2021-11-04 07:20:48 train 2000, loss 2.209e+00, top1 50.32, top5 74.74
2021-11-04 07:34:52 train 3000, loss 2.215e+00, top1 50.27, top5 74.67
2021-11-04 07:34:52 train 3000, loss 2.215e+00, top1 50.29, top5 74.62
2021-11-04 07:34:52 train 3000, loss 2.216e+00, top1 50.23, top5 74.70
2021-11-04 07:48:58 train 4000, loss 2.218e+00, top1 50.19, top5 74.65
2021-11-04 07:48:58 train 4000, loss 2.219e+00, top1 50.17, top5 74.57
2021-11-04 07:48:59 train 4000, loss 2.221e+00, top1 50.16, top5 74.62
2021-11-04 08:03:01 train 5000, loss 2.225e+00, top1 50.09, top5 74.56
2021-11-04 08:03:01 train 5000, loss 2.222e+00, top1 50.11, top5 74.55
2021-11-04 08:03:01 train 5000, loss 2.225e+00, top1 50.09, top5 74.57
2021-11-04 08:03:31 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:03:31 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:03:31 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:08:25 (JOBID 31649) epoch 4: train time 4258.07, inference time 303.08s, valid_top1 52.54 (best_top1 52.54), valid_top5 78.04
2021-11-04 08:08:25 (JOBID 31649) epoch 4: train time 4258.71, inference time 304.08s, valid_top1 52.54 (best_top1 52.54), valid_top5 78.04
2021-11-04 08:08:28 (JOBID 31649) epoch 4: train time 4258.11, inference time 306.99s, valid_top1 52.54 (best_top1 52.54), valid_top5 78.04
2021-11-04 08:08:40 train 0000, loss 2.306e+00, top1 43.53, top5 65.88
2021-11-04 08:08:40 train 0000, loss 1.901e+00, top1 61.18, top5 81.18
2021-11-04 08:08:43 train 0000, loss 2.583e+00, top1 44.71, top5 69.41
2021-11-04 08:44:45 CARME Slurm ID: 31649
2021-11-04 08:44:45 CARME Slurm ID: 31649
2021-11-04 08:44:45 CARME Slurm ID: 31649
2021-11-04 08:44:45 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=0, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 08:44:45 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=2, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 08:44:45 args = Namespace(arch='resnet50', baseline_model='fpgm_pretrained_all_conv', batch_size=256, data='/home/SSD/Dataset_ImageNet', dist_backend='nccl', dist_url='tcp://192.168.152.40:23456', distributed=True, epochs=90, evaluate=False, gpu=1, lr=0.1, momentum=0.9, multiprocessing_distributed=True, path_to_resume='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', path_to_save='retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', print_freq=1000, pruning_threshold=1e-06, rank=0, run_id='fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243', seed=None, start_epoch=0, weight_decay=0.0001, workers=4, world_size=3)
2021-11-04 08:44:58 Computational complexity:       2.02 GMac
2021-11-04 08:44:58 Number of parameters:           13.35 M 
2021-11-04 08:44:58 => loading checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243'
2021-11-04 08:44:58 Computational complexity:       2.02 GMac
2021-11-04 08:44:58 Number of parameters:           13.35 M 
2021-11-04 08:44:58 => loading checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243'
2021-11-04 08:44:58 Computational complexity:       2.02 GMac
2021-11-04 08:44:58 Number of parameters:           13.35 M 
2021-11-04 08:44:58 => loading checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243'
2021-11-04 08:44:58 => loaded checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243' (epoch 5)
2021-11-04 08:44:58 => loaded checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243' (epoch 5)
2021-11-04 08:44:58 => loaded checkpoint 'retrain_fpgm_pretrained_all_conv_lr_0.1_momentum_0.9_wd_0.0001_20211104-014243' (epoch 5)
2021-11-04 08:45:17 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:45:17 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:45:17 valid 0000, loss 1.042e+00, top1 81.18, top5 88.24
2021-11-04 08:49:20 (JOBID 31649) epoch -1: valid_top1 52.54, valid_top5 78.04, inference time 255.93
2021-11-04 08:50:00 (JOBID 31649) epoch -1: valid_top1 52.54, valid_top5 78.04, inference time 296.64
2021-11-04 08:50:03 (JOBID 31649) epoch -1: valid_top1 52.54, valid_top5 78.04, inference time 298.94
2021-11-04 08:50:21 train 0000, loss 1.948e+00, top1 57.65, top5 83.53
2021-11-04 08:50:21 train 0000, loss 2.473e+00, top1 47.06, top5 65.88
2021-11-04 08:50:21 train 0000, loss 2.111e+00, top1 45.88, top5 74.12
2021-11-04 09:04:51 train 1000, loss 2.191e+00, top1 50.56, top5 75.07
2021-11-04 09:04:51 train 1000, loss 2.196e+00, top1 50.56, top5 75.00
2021-11-04 09:04:51 train 1000, loss 2.184e+00, top1 50.85, top5 75.24
2021-11-04 09:19:19 train 2000, loss 2.206e+00, top1 50.35, top5 74.85
2021-11-04 09:19:19 train 2000, loss 2.207e+00, top1 50.39, top5 74.84
2021-11-04 09:19:19 train 2000, loss 2.195e+00, top1 50.65, top5 75.02
2021-11-04 09:33:36 train 3000, loss 2.212e+00, top1 50.28, top5 74.78
2021-11-04 09:33:36 train 3000, loss 2.212e+00, top1 50.33, top5 74.75
2021-11-04 09:33:36 train 3000, loss 2.206e+00, top1 50.43, top5 74.89
2021-11-04 09:48:00 train 4000, loss 2.223e+00, top1 50.13, top5 74.61
2021-11-04 09:48:00 train 4000, loss 2.219e+00, top1 50.16, top5 74.62
2021-11-04 09:48:01 train 4000, loss 2.213e+00, top1 50.30, top5 74.74
2021-11-04 10:02:21 train 5000, loss 2.222e+00, top1 50.09, top5 74.59
2021-11-04 10:02:21 train 5000, loss 2.223e+00, top1 50.12, top5 74.59
2021-11-04 10:02:21 train 5000, loss 2.218e+00, top1 50.18, top5 74.68
2021-11-04 10:02:54 valid 0000, loss 1.210e+00, top1 78.82, top5 83.53
2021-11-04 10:02:55 valid 0000, loss 1.210e+00, top1 78.82, top5 83.53
2021-11-04 10:02:55 valid 0000, loss 1.210e+00, top1 78.82, top5 83.53
2021-11-04 10:07:23 (JOBID 31649) epoch 5: train time 4404.76, inference time 278.73s, valid_top1 52.66 (best_top1 52.66), valid_top5 78.67
2021-11-04 10:07:30 (JOBID 31649) epoch 5: train time 4364.05, inference time 284.82s, valid_top1 52.66 (best_top1 52.66), valid_top5 78.67
