2021-02-03 22:02:43,149 CARME Slurm ID: 25194
2021-02-03 22:02:43,151 gpu device = 0
2021-02-03 22:02:43,151 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.009_time_20210203-220243', seed=0, use_lr_scheduler=True, weight_decay=0.009)
2021-02-03 22:02:47,944 param size = 3.349394MB
2021-02-03 22:10:57,880 (JOBID 25194) epoch 1 lr 1.000000e-03: train_acc 34.320000, valid_acc 48.489998
2021-02-03 22:19:36,622 (JOBID 25194) epoch 2 lr 9.999877e-04: train_acc 52.727997, valid_acc 56.959999
2021-02-03 22:28:48,180 (JOBID 25194) epoch 3 lr 9.999568e-04: train_acc 61.655998, valid_acc 63.099998
2021-02-03 22:37:07,245 (JOBID 25194) epoch 4 lr 9.999136e-04: train_acc 67.722000, valid_acc 66.089996
2021-02-03 22:45:10,539 (JOBID 25194) epoch 5 lr 9.998581e-04: train_acc 71.302002, valid_acc 64.580002
2021-02-03 22:52:45,995 (JOBID 25194) epoch 6 lr 9.997903e-04: train_acc 73.625999, valid_acc 76.500000
2021-02-03 23:01:06,659 (JOBID 25194) epoch 7 lr 9.997101e-04: train_acc 75.388000, valid_acc 78.209999
2021-02-03 23:09:08,867 (JOBID 25194) epoch 8 lr 9.996176e-04: train_acc 76.699997, valid_acc 71.709999
2021-02-03 23:17:07,703 (JOBID 25194) epoch 9 lr 9.995128e-04: train_acc 77.731995, valid_acc 70.589996
2021-02-03 23:25:20,482 (JOBID 25194) epoch 10 lr 9.993956e-04: train_acc 78.694000, valid_acc 73.650002
2021-02-03 23:33:49,287 (JOBID 25194) epoch 11 lr 9.992662e-04: train_acc 79.669998, valid_acc 81.419998
2021-02-03 23:41:58,001 (JOBID 25194) epoch 12 lr 9.991244e-04: train_acc 80.253998, valid_acc 84.099998
2021-02-03 23:50:34,118 (JOBID 25194) epoch 13 lr 9.989703e-04: train_acc 80.916000, valid_acc 77.269997
2021-02-03 23:58:59,550 (JOBID 25194) epoch 14 lr 9.988038e-04: train_acc 81.267998, valid_acc 63.730000
2021-02-04 00:07:43,341 (JOBID 25194) epoch 15 lr 9.986251e-04: train_acc 81.855995, valid_acc 81.299995
2021-02-04 00:15:58,644 (JOBID 25194) epoch 16 lr 9.984341e-04: train_acc 82.245995, valid_acc 81.099998
2021-02-04 00:23:54,694 (JOBID 25194) epoch 17 lr 9.982308e-04: train_acc 82.189995, valid_acc 84.339996
2021-02-04 00:31:39,712 (JOBID 25194) epoch 18 lr 9.980152e-04: train_acc 82.557999, valid_acc 85.220001
2021-02-04 00:39:22,736 (JOBID 25194) epoch 19 lr 9.977873e-04: train_acc 82.722000, valid_acc 84.729996
2021-02-04 00:47:29,158 (JOBID 25194) epoch 20 lr 9.975472e-04: train_acc 83.417999, valid_acc 85.570000
2021-02-04 00:56:28,177 (JOBID 25194) epoch 21 lr 9.972948e-04: train_acc 83.325996, valid_acc 81.320000
2021-02-04 01:04:31,841 (JOBID 25194) epoch 22 lr 9.970301e-04: train_acc 83.701996, valid_acc 79.570000
2021-02-04 01:12:38,785 (JOBID 25194) epoch 23 lr 9.967531e-04: train_acc 83.785995, valid_acc 82.269997
2021-02-04 01:21:40,597 (JOBID 25194) epoch 24 lr 9.964639e-04: train_acc 83.935997, valid_acc 84.790001
2021-02-04 01:30:34,309 (JOBID 25194) epoch 25 lr 9.961625e-04: train_acc 84.215996, valid_acc 80.070000
2021-02-04 01:39:19,008 (JOBID 25194) epoch 26 lr 9.958489e-04: train_acc 84.498001, valid_acc 82.070000
2021-02-04 01:49:07,058 (JOBID 25194) epoch 27 lr 9.955230e-04: train_acc 84.417999, valid_acc 83.129997
2021-02-04 01:58:21,558 (JOBID 25194) epoch 28 lr 9.951849e-04: train_acc 84.596001, valid_acc 87.299995
2021-02-04 02:07:29,397 (JOBID 25194) epoch 29 lr 9.948346e-04: train_acc 84.785995, valid_acc 86.129997
2021-02-04 02:16:38,520 (JOBID 25194) epoch 30 lr 9.944721e-04: train_acc 84.993996, valid_acc 84.129997
2021-02-04 02:25:29,411 (JOBID 25194) epoch 31 lr 9.940974e-04: train_acc 85.211998, valid_acc 86.389999
2021-02-04 02:33:09,575 (JOBID 25194) epoch 32 lr 9.937105e-04: train_acc 85.262001, valid_acc 83.750000
2021-02-04 02:40:46,072 (JOBID 25194) epoch 33 lr 9.933115e-04: train_acc 85.529999, valid_acc 79.769997
2021-02-04 02:48:34,983 (JOBID 25194) epoch 34 lr 9.929004e-04: train_acc 85.531998, valid_acc 83.959999
2021-02-04 02:56:51,584 (JOBID 25194) epoch 35 lr 9.924770e-04: train_acc 85.631996, valid_acc 84.849998
2021-02-04 03:05:07,819 (JOBID 25194) epoch 36 lr 9.920416e-04: train_acc 85.701996, valid_acc 85.839996
2021-02-04 03:13:49,103 (JOBID 25194) epoch 37 lr 9.915940e-04: train_acc 85.981995, valid_acc 87.049995
2021-02-04 03:22:17,290 (JOBID 25194) epoch 38 lr 9.911344e-04: train_acc 85.821999, valid_acc 84.070000
2021-02-04 03:30:17,147 (JOBID 25194) epoch 39 lr 9.906626e-04: train_acc 86.395996, valid_acc 87.739998
2021-02-04 03:37:52,583 (JOBID 25194) epoch 40 lr 9.901788e-04: train_acc 86.061996, valid_acc 87.320000
2021-02-04 03:45:39,422 (JOBID 25194) epoch 41 lr 9.896828e-04: train_acc 86.315994, valid_acc 86.220001
2021-02-04 03:53:58,565 (JOBID 25194) epoch 42 lr 9.891749e-04: train_acc 86.209999, valid_acc 84.860001
2021-02-04 04:02:19,011 (JOBID 25194) epoch 43 lr 9.886549e-04: train_acc 86.279999, valid_acc 87.579994
2021-02-04 04:10:39,672 (JOBID 25194) epoch 44 lr 9.881228e-04: train_acc 86.355995, valid_acc 87.019997
2021-02-04 04:19:09,953 (JOBID 25194) epoch 45 lr 9.875788e-04: train_acc 86.669998, valid_acc 86.979996
2021-02-04 04:27:39,267 (JOBID 25194) epoch 46 lr 9.870228e-04: train_acc 86.537994, valid_acc 87.669998
2021-02-04 04:36:24,211 (JOBID 25194) epoch 47 lr 9.864547e-04: train_acc 86.811996, valid_acc 88.949997
2021-02-04 04:44:31,140 (JOBID 25194) epoch 48 lr 9.858748e-04: train_acc 86.893997, valid_acc 88.889999
2021-02-04 04:53:03,289 (JOBID 25194) epoch 49 lr 9.852828e-04: train_acc 86.636002, valid_acc 86.790001
2021-02-04 05:01:45,064 (JOBID 25194) epoch 50 lr 9.846790e-04: train_acc 86.750000, valid_acc 84.519997
2021-02-04 05:10:14,076 (JOBID 25194) epoch 51 lr 9.840632e-04: train_acc 87.059998, valid_acc 87.889999
2021-02-04 05:19:04,211 (JOBID 25194) epoch 52 lr 9.834355e-04: train_acc 87.012001, valid_acc 88.070000
2021-02-04 05:27:45,965 (JOBID 25194) epoch 53 lr 9.827959e-04: train_acc 86.984001, valid_acc 86.159996
2021-02-04 05:36:26,144 (JOBID 25194) epoch 54 lr 9.821445e-04: train_acc 87.229996, valid_acc 89.290001
2021-02-04 05:45:19,281 (JOBID 25194) epoch 55 lr 9.814812e-04: train_acc 87.152000, valid_acc 88.559998
2021-02-04 05:53:46,287 (JOBID 25194) epoch 56 lr 9.808061e-04: train_acc 87.323997, valid_acc 85.970001
2021-02-04 06:02:16,110 (JOBID 25194) epoch 57 lr 9.801192e-04: train_acc 87.301994, valid_acc 90.610001
2021-02-04 06:10:27,645 (JOBID 25194) epoch 58 lr 9.794205e-04: train_acc 87.416000, valid_acc 90.439995
2021-02-04 06:18:45,673 (JOBID 25194) epoch 59 lr 9.787100e-04: train_acc 87.479996, valid_acc 85.519997
2021-02-04 06:27:24,824 (JOBID 25194) epoch 60 lr 9.779878e-04: train_acc 87.371994, valid_acc 89.529999
2021-02-04 06:35:46,850 (JOBID 25194) epoch 61 lr 9.772538e-04: train_acc 87.625999, valid_acc 87.809998
2021-02-04 06:44:04,563 (JOBID 25194) epoch 62 lr 9.765081e-04: train_acc 87.517998, valid_acc 89.129997
2021-02-04 06:52:55,909 (JOBID 25194) epoch 63 lr 9.757507e-04: train_acc 87.607994, valid_acc 91.049995
2021-02-04 07:01:18,542 (JOBID 25194) epoch 64 lr 9.749817e-04: train_acc 87.629997, valid_acc 90.239998
2021-02-04 07:10:11,697 (JOBID 25194) epoch 65 lr 9.742010e-04: train_acc 87.734001, valid_acc 89.809998
2021-02-04 07:18:37,288 (JOBID 25194) epoch 66 lr 9.734087e-04: train_acc 87.727997, valid_acc 88.739998
2021-02-04 07:28:24,400 (JOBID 25194) epoch 67 lr 9.726047e-04: train_acc 87.874001, valid_acc 87.529999
2021-02-04 07:37:23,177 (JOBID 25194) epoch 68 lr 9.717892e-04: train_acc 87.636002, valid_acc 88.619995
2021-02-04 07:45:44,153 (JOBID 25194) epoch 69 lr 9.709621e-04: train_acc 87.937996, valid_acc 89.049995
2021-02-04 07:53:48,992 (JOBID 25194) epoch 70 lr 9.701235e-04: train_acc 87.970001, valid_acc 87.180000
2021-02-04 08:02:21,628 (JOBID 25194) epoch 71 lr 9.692734e-04: train_acc 88.173996, valid_acc 89.869995
2021-02-04 08:10:05,692 (JOBID 25194) epoch 72 lr 9.684117e-04: train_acc 88.057999, valid_acc 86.339996
2021-02-04 08:18:04,700 (JOBID 25194) epoch 73 lr 9.675386e-04: train_acc 87.734001, valid_acc 88.389999
