2021-02-08 16:37:08,301 CARME Slurm ID: 25341
2021-02-08 16:37:08,302 gpu device = 0
2021-02-08 16:37:08,303 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.0002_time_20210208-163708', seed=0, use_lr_scheduler=True, weight_decay=0.0002)
2021-02-08 16:37:12,792 param size = 3.349394MB
2021-02-08 16:45:13,920 (JOBID 25341) epoch 1 lr 1.000000e-03: train_acc 33.728001, valid_acc 43.090000
2021-02-08 16:53:27,491 (JOBID 25341) epoch 2 lr 9.999877e-04: train_acc 53.098000, valid_acc 61.259998
2021-02-08 17:01:51,061 (JOBID 25341) epoch 3 lr 9.999568e-04: train_acc 61.879997, valid_acc 54.759998
2021-02-08 17:10:00,325 (JOBID 25341) epoch 4 lr 9.999136e-04: train_acc 67.806000, valid_acc 65.519997
2021-02-08 17:17:58,380 (JOBID 25341) epoch 5 lr 9.998581e-04: train_acc 71.739998, valid_acc 75.269997
2021-02-08 17:26:03,166 (JOBID 25341) epoch 6 lr 9.997903e-04: train_acc 74.397995, valid_acc 77.299995
2021-02-08 17:33:57,514 (JOBID 25341) epoch 7 lr 9.997101e-04: train_acc 76.166000, valid_acc 81.189995
2021-02-08 17:42:05,667 (JOBID 25341) epoch 8 lr 9.996176e-04: train_acc 77.695999, valid_acc 79.049995
2021-02-08 17:50:20,964 (JOBID 25341) epoch 9 lr 9.995128e-04: train_acc 78.893997, valid_acc 75.119995
2021-02-08 17:58:48,121 (JOBID 25341) epoch 10 lr 9.993956e-04: train_acc 80.043999, valid_acc 84.129997
2021-02-08 18:06:59,412 (JOBID 25341) epoch 11 lr 9.992662e-04: train_acc 80.939995, valid_acc 83.829994
2021-02-08 18:15:23,761 (JOBID 25341) epoch 12 lr 9.991244e-04: train_acc 81.928001, valid_acc 84.500000
2021-02-08 18:23:22,887 (JOBID 25341) epoch 13 lr 9.989703e-04: train_acc 82.734001, valid_acc 84.119995
2021-02-08 18:31:27,712 (JOBID 25341) epoch 14 lr 9.988038e-04: train_acc 83.131996, valid_acc 79.509995
